age,income,employment_years,credit_score,loan_amount,loan_term_months,loan_purpose,marital_status,dependents,existing_debt,home_ownership,education_level,num_of_credit_lines,previous_defaults,months_since_last_default,debt_to_income,loan_to_income,interest_rate,approved,approval_prob
19,65589.0,8.0,641.0,10627,24,debt_consolidation,single,0,7244.0,mortgage,high_school,4,0,,0.11,0.162,0.112,1,0.792
38,58216.0,6.0,514.0,20028,48,car,married,0,27967.0,rent,high_school,7,0,,0.48,0.344,0.212,0,0.432
50,72506.0,4.0,712.0,500,60,debt_consolidation,single,0,0.0,rent,bachelor,2,0,,0.0,0.007,0.045,1,0.827
29,34441.0,7.0,726.0,21533,12,debt_consolidation,single,3,248.0,other,high_school,1,0,,0.007,0.625,0.162,0,0.504
39,61952.0,1.0,694.0,9906,36,debt_consolidation,single,1,35376.0,mortgage,high_school,3,0,,0.571,0.16,0.085,0,0.428
61,43738.0,7.0,721.0,11591,60,debt_consolidation,single,2,0.0,rent,master,6,0,,0.0,0.265,0.092,1,0.835
42,49509.0,3.0,636.0,24713,60,education,single,3,6740.0,mortgage,bachelor,5,0,,0.136,0.499,0.182,1,0.546
66,70711.0,9.0,609.0,28449,60,debt_consolidation,single,3,78.0,mortgage,high_school,9,0,,0.001,0.402,0.176,1,0.896
44,26832.0,4.0,726.0,8449,60,personal,single,1,26866.0,mortgage,master,1,0,,1.001,0.315,0.1,0,0.115
59,82200.0,2.0,565.0,8381,24,debt_consolidation,married,3,,own,high_school,2,1,53.0,,0.102,0.188,0,0.409
45,39430.0,4.0,563.0,11458,36,debt_consolidation,married,1,29612.0,rent,bachelor,4,1,33.0,0.751,0.291,0.227,0,0.091
33,56517.0,6.0,686.0,8332,72,debt_consolidation,married,1,13671.0,rent,bachelor,5,0,,0.242,0.147,0.086,1,0.749
32,14987.0,2.0,684.0,649,72,debt_consolidation,single,1,12797.0,mortgage,master,5,0,,0.854,0.043,0.067,0,0.231
64,67996.0,1.0,724.0,14686,48,debt_consolidation,divorced,1,9137.0,mortgage,bachelor,4,0,,0.134,0.216,0.081,1,0.722
68,86163.0,7.0,513.0,8400,60,debt_consolidation,single,0,,mortgage,high_school,4,0,,,0.097,0.163,1,0.652
61,37134.0,7.0,642.0,15979,72,personal,single,0,6711.0,rent,bachelor,4,0,,0.181,0.43,0.165,0,0.503
18,22244.0,6.0,560.0,101357,48,medical,married,0,0.0,rent,bachelor,1,0,,0.0,4.556,0.35,0,0.059
20,56950.0,8.0,718.0,13944,24,personal,married,0,17807.0,own,bachelor,0,0,,0.313,0.245,0.09,0,0.559
54,86370.0,7.0,757.0,7443,60,debt_consolidation,single,1,8719.0,mortgage,bachelor,2,1,72.0,0.101,0.086,0.089,1,0.734
68,13754.0,5.0,690.0,12278,72,home_improvement,single,0,39412.0,rent,bachelor,5,0,,2.865,0.893,0.234,0,0.012
24,22342.0,6.0,605.0,16287,60,debt_consolidation,married,1,23677.0,mortgage,master,4,0,,1.06,0.729,0.243,0,0.079
38,38645.0,6.0,590.0,13345,60,medical,married,0,15203.0,mortgage,bachelor,1,0,,0.393,0.345,0.174,0,0.227
26,29491.0,7.0,617.0,9372,48,personal,single,0,31512.0,rent,high_school,3,0,,1.068,0.318,0.155,0,0.115
56,29570.0,6.0,583.0,500,24,personal,divorced,1,0.0,rent,master,6,0,,0.0,0.017,0.112,1,0.686
35,5000.0,3.0,637.0,21337,36,debt_consolidation,single,0,18416.0,rent,master,5,0,,3.682,4.267,0.35,0,0.02
21,64726.0,3.0,590.0,6068,72,debt_consolidation,married,2,11531.0,mortgage,other,2,0,,0.178,0.094,0.124,0,0.54
42,58468.0,1.0,,29625,48,debt_consolidation,single,2,6949.0,own,bachelor,3,0,,0.119,0.507,0.232,0,0.323
31,7529.0,5.0,680.0,11311,12,debt_consolidation,single,0,5786.0,own,bachelor,4,0,,0.768,1.502,0.35,0,0.053
67,86430.0,3.0,687.0,9835,72,debt_consolidation,single,1,26699.0,mortgage,master,2,1,110.0,0.309,0.114,0.129,1,0.447
26,92027.0,9.0,786.0,10285,48,debt_consolidation,married,0,0.0,rent,high_school,2,0,,0.0,0.112,0.03,1,0.947
43,31227.0,8.0,615.0,16502,60,debt_consolidation,single,1,17088.0,rent,master,5,0,,0.547,0.528,0.198,0,0.319
19,79164.0,4.0,499.0,6336,48,home_improvement,married,0,0.0,mortgage,high_school,3,1,119.0,0.0,0.08,0.217,0,0.401
37,35675.0,2.0,715.0,8248,24,home_improvement,divorced,1,6331.0,mortgage,high_school,5,1,96.0,0.177,0.231,0.139,1,0.347
45,54528.0,3.0,724.0,21224,48,business,married,0,9245.0,rent,high_school,3,0,,0.17,0.389,0.116,1,0.561
64,29106.0,2.0,741.0,4823,72,debt_consolidation,single,1,34247.0,rent,bachelor,1,0,,1.177,0.166,0.063,0,0.115
24,105356.0,4.0,768.0,20482,12,debt_consolidation,single,1,1997.0,mortgage,high_school,4,0,,0.019,0.194,0.055,1,0.936
61,,4.0,769.0,23275,60,education,married,0,10815.0,mortgage,high_school,3,1,27.0,0.216,0.465,0.175,0,0.313
25,53161.0,5.0,572.0,21676,36,car,single,0,0.0,rent,bachelor,2,0,,0.0,0.408,0.196,0,0.461
64,32802.0,8.0,774.0,17336,36,debt_consolidation,widowed,1,17587.0,mortgage,bachelor,2,0,,0.536,0.528,0.119,0,0.396
52,,6.0,624.0,500,36,personal,widowed,1,0.0,mortgage,master,1,0,,0.0,0.01,0.089,1,0.819
31,97165.0,3.0,714.0,2893,60,debt_consolidation,single,2,0.0,rent,high_school,4,0,,0.0,0.03,0.049,1,0.914
34,90773.0,5.0,671.0,1446,48,home_improvement,single,1,0.0,own,high_school,3,0,,0.0,0.016,0.068,1,0.874
53,73911.0,6.0,572.0,11216,48,home_improvement,divorced,4,5743.0,mortgage,high_school,4,0,,0.078,0.152,0.144,1,0.725
67,34380.0,3.0,743.0,15312,60,debt_consolidation,married,4,6492.0,rent,bachelor,4,0,,0.189,0.445,0.118,1,0.526
57,70696.0,8.0,614.0,3089,12,car,married,1,27021.0,mortgage,bachelor,4,0,,0.382,0.044,0.102,1,0.694
21,49824.0,8.0,799.0,13273,24,home_improvement,single,1,32832.0,mortgage,high_school,4,0,,0.659,0.266,0.054,1,0.619
19,82810.0,5.0,589.0,21842,12,debt_consolidation,single,3,32471.0,mortgage,bachelor,7,1,27.0,0.392,0.264,0.208,0,0.467
23,77898.0,4.0,570.0,5013,60,personal,divorced,0,27261.0,rent,master,7,1,109.0,0.35,0.064,0.178,0,0.47
59,33768.0,2.0,597.0,6815,48,debt_consolidation,single,1,41131.0,mortgage,high_school,3,1,62.0,1.218,0.202,0.192,0,0.045
21,73696.0,6.0,770.0,26810,60,medical,married,0,16830.0,own,bachelor,2,1,14.0,0.228,0.364,0.138,0,0.469
46,67051.0,5.0,525.0,5727,48,debt_consolidation,single,1,17049.0,rent,high_school,6,0,,0.254,0.085,0.155,1,0.65
35,5000.0,6.0,723.0,18423,36,home_improvement,divorced,0,37405.0,rent,high_school,9,0,,7.48,3.684,0.35,0,0.01
43,70023.0,7.0,797.0,27393,60,debt_consolidation,married,3,0.0,mortgage,high_school,6,0,,0.0,0.391,0.08,1,0.92
61,39205.0,3.0,636.0,3185,36,business,single,1,24097.0,own,bachelor,1,0,,0.615,0.081,0.098,0,0.218
51,27849.0,9.0,619.0,3933,72,medical,single,1,9293.0,mortgage,bachelor,1,0,,0.334,0.141,0.119,0,0.367
27,28918.0,2.0,,12685,36,debt_consolidation,married,0,29998.0,rent,master,3,0,,1.037,0.439,0.16,0,0.098
53,46619.0,0.0,560.0,15676,36,debt_consolidation,single,0,27727.0,mortgage,master,6,0,,0.595,0.336,0.187,0,0.241
31,62001.0,6.0,850.0,8584,48,personal,married,2,7535.0,rent,bachelor,3,0,,0.122,0.138,0.03,1,0.863
48,,4.0,704.0,34713,24,personal,single,1,0.0,rent,high_school,4,0,,0.0,0.694,0.35,0,0.064
65,54746.0,6.0,552.0,20386,12,car,single,0,30243.0,other,master,1,0,,0.552,0.372,0.198,0,0.207
32,64419.0,4.0,585.0,6957,48,home_improvement,married,1,2903.0,rent,master,4,0,,0.045,0.108,0.129,1,0.684
25,96545.0,5.0,664.0,1340,36,personal,married,0,11816.0,own,master,4,0,,0.122,0.014,0.071,1,0.864
31,23083.0,2.0,546.0,14370,12,debt_consolidation,married,0,0.0,mortgage,high_school,6,0,,0.0,0.623,0.252,0,0.321
40,41260.0,5.0,530.0,19388,36,education,married,0,4591.0,mortgage,master,5,0,,0.111,0.47,0.229,0,0.447
57,56542.0,4.0,674.0,33405,48,home_improvement,married,2,25245.0,own,master,4,0,,0.446,0.591,0.181,0,0.385
38,78685.0,3.0,730.0,15758,36,medical,married,2,15777.0,mortgage,bachelor,6,0,,0.201,0.2,0.075,1,0.801
33,42394.0,5.0,723.0,12571,24,debt_consolidation,single,1,0.0,mortgage,master,11,0,,0.0,0.297,0.098,1,0.906
62,79966.0,3.0,645.0,5234,48,car,single,0,0.0,rent,master,3,0,,0.0,0.065,0.09,1,0.773
35,5000.0,3.0,628.0,18704,60,car,single,0,20323.0,rent,bachelor,4,0,,4.064,3.74,0.35,0,0.01
64,18666.0,4.0,654.0,25167,60,personal,married,2,3771.0,rent,master,8,0,,0.202,1.348,0.343,0,0.206
41,58716.0,8.0,729.0,500,36,education,married,0,12623.0,rent,master,7,0,,0.215,0.009,0.037,1,0.935
43,14729.0,5.0,,15747,24,personal,single,0,7947.0,rent,master,7,0,,0.54,1.069,0.339,0,0.093
42,20638.0,4.0,588.0,4799,48,personal,married,0,3619.0,rent,master,8,0,,0.175,0.233,0.153,1,0.522
62,36806.0,4.0,620.0,1424,60,home_improvement,single,0,19299.0,rent,bachelor,5,0,,0.524,0.039,0.098,0,0.427
18,69286.0,4.0,631.0,101357,48,debt_consolidation,married,0,0.0,rent,high_school,5,0,,0.0,1.463,0.177,1,0.706
46,5000.0,4.0,646.0,23873,36,education,single,0,12244.0,own,high_school,4,0,,2.448,4.774,0.35,0,0.05
32,54257.0,7.0,648.0,8938,24,personal,married,1,16221.0,rent,phd,4,0,,0.299,0.165,0.109,1,0.633
62,75824.0,8.0,704.0,13385,72,debt_consolidation,married,0,30213.0,mortgage,high_school,3,0,,0.398,0.177,0.083,1,0.746
18,45126.0,7.0,509.0,11827,60,car,married,0,10783.0,mortgage,bachelor,3,0,,0.239,0.262,0.198,0,0.372
42,40779.0,3.0,522.0,3744,36,debt_consolidation,married,0,0.0,rent,bachelor,5,0,,0.0,0.092,0.157,1,0.55
24,60044.0,6.0,597.0,9592,36,debt_consolidation,married,0,20122.0,rent,high_school,3,0,,0.335,0.16,0.134,0,0.539
26,45197.0,6.0,719.0,22840,60,education,married,1,0.0,mortgage,bachelor,6,0,,0.0,0.505,0.142,1,0.789
41,84762.0,4.0,598.0,9342,36,medical,single,0,0.0,mortgage,master,3,0,,0.0,0.11,0.123,1,0.734
18,22215.0,6.0,647.0,19640,48,education,single,1,2502.0,rent,high_school,2,1,73.0,0.113,0.884,0.303,0,0.146
61,48709.0,9.0,660.0,9419,60,personal,divorced,0,7228.0,rent,bachelor,1,0,,0.148,0.193,0.109,1,0.612
25,55142.0,6.0,675.0,3158,36,debt_consolidation,divorced,0,29392.0,rent,bachelor,5,0,,0.533,0.057,0.074,1,0.633
41,40539.0,4.0,775.0,26944,12,debt_consolidation,married,2,19779.0,mortgage,bachelor,5,0,,0.488,0.665,0.146,0,0.432
28,5000.0,6.0,706.0,500,36,personal,single,0,0.0,other,high_school,3,0,,0.0,0.1,0.067,0,0.57
68,45977.0,7.0,730.0,32850,72,car,married,1,32689.0,mortgage,master,7,0,,0.711,0.714,0.178,0,0.412
34,72504.0,4.0,640.0,24979,48,debt_consolidation,single,0,25916.0,own,bachelor,3,0,,0.357,0.345,0.149,1,0.525
25,69453.0,3.0,768.0,16827,60,medical,single,1,16249.0,mortgage,bachelor,5,0,,0.234,0.242,0.064,1,0.754
52,58869.0,4.0,656.0,10541,48,personal,married,0,0.0,rent,bachelor,4,0,,0.0,0.179,0.108,1,0.722
52,22553.0,5.0,494.0,11321,72,medical,single,2,0.0,mortgage,master,5,0,,0.0,0.502,0.253,0,0.29
50,59883.0,3.0,,17025,72,business,single,1,10136.0,rent,bachelor,3,0,,0.169,0.284,0.033,1,0.753
22,35664.0,5.0,654.0,16848,48,debt_consolidation,married,0,34831.0,rent,bachelor,2,0,,0.977,0.472,0.167,0,0.125
59,58837.0,3.0,692.0,5408,36,debt_consolidation,single,1,29882.0,rent,bachelor,1,0,,0.508,0.092,0.072,0,0.433
56,53038.0,5.0,565.0,15678,48,personal,divorced,1,0.0,mortgage,high_school,4,0,,0.0,0.296,0.177,0,0.577
18,25591.0,5.0,826.0,101357,60,education,divorced,0,0.0,mortgage,high_school,1,0,,0.0,3.96,0.124,1,0.544
45,27689.0,5.0,587.0,11993,48,debt_consolidation,married,1,7264.0,own,high_school,4,1,16.0,0.262,0.433,0.243,0,0.16
24,58876.0,6.0,619.0,37392,60,car,widowed,0,12106.0,rent,high_school,3,0,,0.206,0.635,0.218,1,0.428
26,44472.0,6.0,528.0,13660,36,medical,married,1,0.0,rent,bachelor,6,0,,0.0,0.307,0.197,0,0.571
25,28993.0,6.0,679.0,500,36,debt_consolidation,married,0,0.0,rent,high_school,3,0,,0.0,0.017,0.064,1,0.699
29,26929.0,5.0,627.0,4897,60,education,married,1,41742.0,rent,master,7,0,,1.55,0.182,0.123,0,0.138
51,42404.0,7.0,527.0,22035,36,debt_consolidation,married,2,4390.0,own,other,3,0,,0.104,0.52,0.241,0,0.373
50,89203.0,3.0,645.0,7776,48,debt_consolidation,single,0,5488.0,rent,bachelor,6,0,,0.062,0.087,0.095,1,0.873
18,36848.0,5.0,658.0,101357,72,education,married,1,52395.0,mortgage,bachelor,4,0,,1.422,2.751,0.098,0,0.154
40,49650.0,7.0,630.0,28954,48,debt_consolidation,married,1,4919.0,mortgage,high_school,5,0,,0.099,0.583,0.202,0,0.595
41,52541.0,2.0,504.0,16698,72,debt_consolidation,married,0,0.0,rent,bachelor,4,0,,0.0,0.318,0.212,1,0.436
54,21724.0,8.0,,8988,60,personal,married,0,0.0,own,bachelor,2,0,,0.0,0.414,0.146,0,0.503
52,5929.0,4.0,549.0,500,60,education,married,1,14374.0,rent,high_school,2,0,,2.424,0.084,0.142,0,0.053
61,24334.0,2.0,721.0,21203,48,home_improvement,married,2,2877.0,own,high_school,6,1,78.0,0.118,0.871,0.264,0,0.185
57,56177.0,5.0,606.0,15155,24,debt_consolidation,married,0,8048.0,mortgage,bachelor,6,0,,0.143,0.27,0.151,1,0.68
39,52183.0,5.0,724.0,28007,48,debt_consolidation,single,0,9356.0,mortgage,bachelor,3,0,,0.179,0.537,0.145,1,0.57
44,67560.0,4.0,651.0,4054,36,car,married,2,57218.0,rent,bachelor,3,0,,0.847,0.06,0.087,0,0.359
52,52419.0,6.0,655.0,11268,72,debt_consolidation,single,0,20690.0,mortgage,phd,4,0,,0.395,0.215,0.116,1,0.564
18,47261.0,,752.0,17986,36,home_improvement,widowed,0,0.0,mortgage,master,4,0,,0.0,0.381,0.1,1,0.796
52,34900.0,4.0,585.0,27559,36,home_improvement,married,0,7387.0,own,high_school,3,0,,0.212,0.79,0.266,0,0.21
54,72115.0,3.0,,17585,48,home_improvement,married,1,22046.0,mortgage,master,5,0,,0.306,0.244,0.168,0,0.537
64,27020.0,6.0,694.0,7926,48,debt_consolidation,divorced,0,26243.0,rent,bachelor,2,0,,0.971,0.293,0.112,0,0.17
31,22240.0,4.0,545.0,27978,12,debt_consolidation,married,1,0.0,own,master,4,0,,0.0,1.258,0.35,0,0.144
20,64176.0,2.0,586.0,11877,24,personal,single,0,0.0,mortgage,master,4,0,,0.0,0.185,0.144,1,0.623
18,16671.0,3.0,524.0,16800,60,personal,married,0,17049.0,mortgage,high_school,5,0,,1.023,1.008,0.34,0,0.023
22,110370.0,1.0,,22507,48,home_improvement,single,1,434.0,rent,high_school,7,0,,0.004,0.204,0.07,1,0.939
43,52000.0,9.0,570.0,30632,24,business,single,0,0.0,rent,bachelor,5,0,,0.0,0.589,0.233,0,0.598
31,58698.0,5.0,598.0,18689,48,education,married,0,12806.0,mortgage,high_school,4,0,,0.218,0.318,0.165,1,0.579
56,29790.0,3.0,547.0,40873,36,debt_consolidation,married,0,21861.0,rent,bachelor,2,0,,0.734,1.372,0.35,0,0.041
44,42118.0,4.0,619.0,14105,36,debt_consolidation,married,0,6416.0,mortgage,bachelor,5,0,,0.152,0.335,0.158,0,0.536
26,39331.0,3.0,639.0,17936,72,debt_consolidation,married,0,0.0,rent,high_school,5,0,,0.0,0.456,0.172,1,0.553
32,36454.0,4.0,716.0,8814,36,car,single,0,2071.0,rent,bachelor,4,0,,0.057,0.242,0.09,1,0.645
32,65824.0,6.0,544.0,18226,12,car,married,0,0.0,rent,bachelor,6,0,,0.0,0.277,0.183,0,0.715
43,38761.0,4.0,602.0,17971,72,personal,single,0,18426.0,mortgage,high_school,4,1,115.0,0.475,0.464,0.242,0,0.11
59,75438.0,2.0,764.0,25457,60,business,single,1,40757.0,rent,bachelor,3,0,,0.54,0.337,0.085,1,0.526
30,1165800.0,6.0,733.0,19445,36,personal,married,1,14319.0,rent,bachelor,2,0,,0.012,0.017,0.067,1,0.894
68,42611.0,3.0,596.0,9728,48,personal,single,0,16615.0,rent,bachelor,6,1,73.0,0.39,0.228,0.198,0,0.216
49,53808.0,6.0,646.0,17564,60,personal,single,0,22195.0,rent,bachelor,7,0,,0.412,0.326,0.142,1,0.613
56,59487.0,2.0,807.0,8276,36,debt_consolidation,single,0,30221.0,own,bachelor,2,0,,0.508,0.139,0.03,1,0.578
66,95288.0,8.0,554.0,20495,48,debt_consolidation,married,0,1272.0,rent,high_school,3,0,,0.013,0.215,0.166,1,0.81
69,47934.0,3.0,496.0,9408,48,car,married,0,9206.0,rent,master,5,0,,0.192,0.196,0.191,0,0.4
18,29275.0,6.0,607.0,101357,48,medical,divorced,1,24227.0,rent,bachelor,5,0,,0.828,3.462,0.104,0,0.258
21,,4.0,643.0,3699,48,home_improvement,married,4,0.0,mortgage,bachelor,2,0,,0.0,0.074,0.119,1,0.439
47,48550.0,5.0,586.0,3250,48,personal,single,0,0.0,rent,high_school,3,0,,0.0,0.067,0.12,0,0.623
54,38790.0,6.0,728.0,9719,12,personal,single,0,3024.0,own,high_school,5,1,54.0,0.078,0.251,0.136,0,0.504
40,100250.0,1.0,667.0,6527,60,car,single,0,28846.0,rent,master,5,0,,0.288,0.065,0.08,1,0.786
56,94247.0,5.0,602.0,14779,24,home_improvement,married,0,12108.0,rent,bachelor,7,0,,0.128,0.157,0.13,1,0.864
62,24141.0,7.0,607.0,11080,48,personal,married,1,3006.0,mortgage,bachelor,5,0,,0.125,0.459,0.188,1,0.453
32,32231.0,6.0,590.0,20162,48,debt_consolidation,married,0,25236.0,mortgage,bachelor,6,0,,0.783,0.626,0.23,0,0.187
60,51844.0,6.0,716.0,18827,60,debt_consolidation,single,1,18302.0,rent,bachelor,1,0,,0.353,0.363,0.115,0,0.478
46,84931.0,7.0,612.0,11761,48,personal,single,0,0.0,mortgage,high_school,2,0,,0.0,0.138,0.122,1,0.783
53,51425.0,4.0,555.0,27423,60,medical,single,0,7153.0,mortgage,high_school,6,0,,0.139,0.533,0.229,0,0.437
30,33819.0,3.0,727.0,5736,24,home_improvement,married,1,0.0,mortgage,high_school,2,0,,0.0,0.17,0.07,1,0.606
49,48528.0,8.0,628.0,25064,60,personal,single,1,12151.0,mortgage,bachelor,5,0,,0.25,0.516,0.189,0,0.542
24,34288.0,4.0,541.0,16562,60,home_improvement,married,1,19545.0,own,master,4,0,,0.57,0.483,0.226,0,0.164
68,65062.0,5.0,787.0,11056,60,education,single,2,0.0,other,bachelor,9,0,,0.0,0.17,0.041,1,0.986
39,32274.0,5.0,699.0,26294,48,education,married,1,0.0,other,master,5,0,,0.0,0.815,0.214,0,0.538
45,37239.0,3.0,654.0,20572,36,debt_consolidation,single,0,35179.0,own,high_school,4,0,,0.945,0.552,0.183,0,0.135
19,79048.0,9.0,633.0,4244,36,debt_consolidation,single,1,4967.0,own,master,3,0,,0.063,0.054,0.094,1,0.857
59,30791.0,8.0,628.0,18640,36,personal,single,2,34881.0,mortgage,bachelor,3,0,,1.133,0.605,0.207,0,0.082
62,13847.0,6.0,626.0,18630,48,debt_consolidation,single,1,0.0,rent,bachelor,5,0,,0.0,1.345,0.35,0,0.206
23,52375.0,3.0,628.0,25074,36,debt_consolidation,single,0,2023.0,mortgage,bachelor,8,0,,0.039,0.479,0.182,1,0.694
45,40988.0,5.0,603.0,20854,72,home_improvement,married,0,13265.0,own,bachelor,5,0,,0.324,0.509,0.2,0,0.377
45,62785.0,5.0,642.0,21569,60,debt_consolidation,single,0,5221.0,rent,high_school,5,1,77.0,0.083,0.344,0.198,0,0.474
61,57937.0,5.0,601.0,10586,12,personal,single,1,28982.0,mortgage,high_school,4,0,,0.5,0.183,0.136,0,0.439
61,49202.0,3.0,668.0,12903,48,debt_consolidation,married,1,8225.0,mortgage,high_school,6,0,,0.167,0.262,0.118,1,0.665
37,48474.0,7.0,648.0,12479,60,education,married,1,20681.0,rent,master,5,1,47.0,0.427,0.257,0.177,0,0.361
47,31604.0,3.0,594.0,500,36,debt_consolidation,single,0,0.0,mortgage,master,1,0,,0.0,0.016,0.106,0,0.457
28,52084.0,0.0,643.0,27867,48,personal,married,4,13966.0,rent,high_school,4,0,,0.268,0.535,0.186,0,0.328
45,72032.0,6.0,693.0,3808,48,car,married,1,5293.0,own,bachelor,2,0,,0.073,0.053,0.064,1,0.788
42,25664.0,6.0,469.0,17687,36,home_improvement,single,0,0.0,own,high_school,5,0,,0.0,0.689,0.303,0,0.271
56,49865.0,4.0,696.0,11689,48,personal,married,1,16998.0,own,high_school,2,0,,0.341,0.234,0.099,1,0.469
50,75960.0,5.0,552.0,12616,72,debt_consolidation,single,0,30433.0,own,bachelor,5,0,,0.401,0.166,0.157,1,0.585
18,62636.0,9.0,613.0,21775,36,car,single,0,1071.0,mortgage,bachelor,7,0,,0.017,0.348,0.163,1,0.822
44,82737.0,5.0,424.0,7197,48,personal,widowed,0,16342.0,mortgage,high_school,2,0,,0.198,0.087,0.205,0,0.446
69,35796.0,4.0,695.0,19566,36,medical,single,0,6774.0,own,master,4,0,,0.189,0.547,0.162,0,0.42
30,5000.0,3.0,591.0,19661,60,medical,single,2,11607.0,mortgage,high_school,2,1,2.0,2.321,3.931,0.35,0,0.01
58,55016.0,6.0,610.0,7244,60,debt_consolidation,widowed,1,22598.0,other,master,6,0,,0.411,0.132,0.121,0,0.626
20,59064.0,2.0,657.0,24112,36,debt_consolidation,married,0,31627.0,rent,bachelor,2,0,,0.535,0.408,0.153,0,0.292
56,84211.0,6.0,492.0,28674,60,debt_consolidation,married,2,28628.0,rent,high_school,5,0,,0.34,0.34,0.222,1,0.542
23,79704.0,6.0,655.0,35247,36,personal,married,0,0.0,mortgage,bachelor,5,0,,0.0,0.442,0.161,1,0.792
25,63419.0,6.0,702.0,12380,24,personal,married,0,,mortgage,high_school,3,1,48.0,,0.195,0.138,1,0.571
44,69135.0,5.0,664.0,16911,60,debt_consolidation,married,1,0.0,mortgage,high_school,3,0,,0.0,0.245,0.117,1,0.758
26,45204.0,3.0,618.0,17522,36,debt_consolidation,single,0,19495.0,rent,high_school,2,0,,0.431,0.388,0.169,0,0.267
54,19522.0,4.0,653.0,21658,48,debt_consolidation,single,3,2106.0,mortgage,bachelor,4,0,,0.108,1.109,0.295,0,0.209
50,52943.0,4.0,644.0,32485,60,debt_consolidation,single,1,25935.0,mortgage,high_school,5,0,,0.49,0.614,0.201,0,0.354
68,74564.0,5.0,711.0,19868,24,home_improvement,single,0,0.0,mortgage,bachelor,1,0,,0.0,0.266,0.098,1,0.744
59,66409.0,4.0,750.0,20141,36,medical,single,1,16693.0,own,high_school,5,0,,0.251,0.303,0.086,1,0.722
61,,4.0,617.0,4053,48,personal,married,1,0.0,rent,high_school,1,0,,0.0,0.081,0.103,1,0.664
41,39306.0,5.0,669.0,35486,36,medical,single,0,17570.0,own,phd,8,0,,0.447,0.903,0.246,0,0.338
32,43361.0,5.0,597.0,10247,12,education,single,0,15869.0,own,master,4,0,,0.366,0.236,0.149,0,0.459
49,62086.0,5.0,683.0,500,24,business,married,1,0.0,own,high_school,3,0,,0.0,0.008,0.06,1,0.783
49,36337.0,7.0,687.0,500,60,medical,married,0,12884.0,mortgage,bachelor,4,0,,0.355,0.014,0.059,1,0.602
